Name,Price,Address,Link
The Riverdale Tower,"$2,200 - $4,750","3745 Riverdale Ave, The Bronx, NY 10463",https://www.apartments.com/the-riverdale-tower-the-bronx-ny/db9r3kj/
The Residences at Lighthouse Point,"$2,795 - $5,750","35R Bay St, Staten Island, NY 10301",https://www.apartments.com/the-residences-at-lighthouse-point-staten-island-ny/92sq7h6/
The Station Apartments,"$1,750 - $2,300","5959 Broadway, Bronx, NY 10463",https://www.apartments.com/the-station-apartments-bronx-ny/2vjnkfb/
The Equestrian At Pelham Parkway,"$1,700 - $2,650","1680 Pelham Pkwy S, Bronx, NY 10461",https://www.apartments.com/the-equestrian-at-pelham-parkway-bronx-ny/80g1zt0/
Halletts Point,"$2,761 - $6,329","10, 20, 30 Halletts Pt, Astoria, NY 11102",https://www.apartments.com/halletts-point-astoria-ny/1j2c5h6/
The Bold,"$3,835 - $6,600","2701 Jackson Ave, Long Island City, NY 11101",https://www.apartments.com/the-bold-long-island-city-ny/vh5hy3f/
1515 Surf,"$3,130 - $3,370","1515 Surf Ave, Brooklyn, NY 11224",https://www.apartments.com/1515-surf-brooklyn-ny/65t9ffv/
21 Chelsea,"$4,450 - $6,224","120 W 21st St, New York, NY 10011",https://www.apartments.com/21-chelsea-new-york-ny/d10ll7l/
View 34,"$3,618 - $8,592","401 E 34th St, New York, NY 10016",https://www.apartments.com/view-34-new-york-ny/938hg25/
10 Hanover Square,"$3,756 - $8,299","110-124 Pearl St, New York, NY 10005",https://www.apartments.com/10-hanover-square-new-york-ny/1wxy6j5/
95 Wall,"$3,675 - $7,149","95 Wall St, New York, NY 10005",https://www.apartments.com/95-wall-new-york-ny/b815kt8/
Outpost Club Heritage (Furnished Rooms),"$1,650 - $7,500","1660 Madison Ave, New York, NY 10029",https://www.apartments.com/outpost-club-heritage-furnished-rooms-new-york-ny/wxgrrzh/
The Reserve,"$1,584 - $4,107","212 E 125th St, New York, NY 10035",https://www.apartments.com/the-reserve-new-york-ny/3w6dcsd/
Quincy,Call for Rent,"980 6th Ave, New York, NY 10018",https://www.apartments.com/quincy-new-york-ny/yegf52v/
20 Rockwell Place,"$3,385 - $8,932","625-635 Fulton St, Brooklyn, NY 11201",https://www.apartments.com/20-rockwell-place-brooklyn-ny/jxtzqc5/
Greenpoint Market,"$3,815 - $7,999","21 India St, Brooklyn, NY 11222",https://www.apartments.com/greenpoint-market-brooklyn-ny/pnhp7hs/
MODA,"$2,600 - $3,550","153-30 89th Ave, Jamaica, NY 11432",https://www.apartments.com/moda-jamaica-ny/kl2p7vb/
2-21 Malt Drive Apartments,"$2,490 - $3,590","2-20 Malt Dr, Long Island City, NY 11101",https://www.apartments.com/2-21-malt-drive-apartments-long-island-city-ny/18wzfv4/
Waterline Square,"$5,218 - $27,995","400 W 61st St, New York, NY 10023",https://www.apartments.com/waterline-square-new-york-ny/ewlwn1n/
Yorkshire Towers,"$3,616 - $14,249","305-315 E 86th St, New York, NY 10028",https://www.apartments.com/yorkshire-towers-new-york-ny/bzg2v49/
Skylimit Tower,"$2,800 - $3,300","4334 53rd St, Woodside, NY 11377",https://www.apartments.com/skylimit-tower-woodside-ny/efcxv9q/
7 Dekalb,"$3,702 - $6,701","7 DeKalb Ave, Brooklyn, NY 11201",https://www.apartments.com/7-dekalb-brooklyn-ny/rztegz0/
Parkchester,"$1,335 - $3,000","2000 E Tremont Ave, Bronx, NY 10462",https://www.apartments.com/parkchester-bronx-ny/e3s3rfm/
Pod Pads,"$4,500 - $9,000","400 W 42nd St, New York, NY 10036",https://www.apartments.com/pod-pads-new-york-ny/c6e9d5d/
